NAME,PLACE OF ORIGIN,COORDINATES,DEPTH,ISOLATOR,ISOLATED,METHOD,
SS120,Sargasso Sea,28° 59'N, 64° 21'W,120 m,B. Palenik,1988.4032258065,filtered
SS35,Sargasso Sea,28° 59'N, 64° 21'W,120 m,B. Palenik,1988.4032258065,filtered
SS51,Sargasso Sea,28° 59'N, 64° 21'W,120 m,B. Palenik,1988.4032258065,filtered
SS52,Sargasso Sea,28° 59'N, 64° 21'W,120 m,B. Palenik,1988.4032258065,filtered
SS2,Sargasso Sea,28° 59'N, 64° 21'W,120 m,B. Palenik,1988.4032258065,filtered
MIT9301,Sargasso Sea,34° 10.1'N, 66° 18.2'W, 90 m,L. R. Moore,1993.188172043,filtered
MIT9302,Sargasso Sea,34° 45.5'N, 66° 11.1'W,100 m,L. R. Moore,1993.2822580645,sorted on fcm
MIT9303,Sargasso Sea,34° 45.5'N, 66° 11.1'W,100 m,L. R. Moore,1993.2822580645,sorted on fcm
MIT9401,Sargasso Sea,35.5°N, 70.4°W,surface,"""",1994-05-01*,filtered
MIT9311,Gulf Stream,"37° 30.8'N; 68° 14,4'W",,135 m,L. R. Moore,1993.3198924731,sorted on fcm
MIT9312,Gulf Stream,"37° 30.8'N; 68° 14,4'W",,135 m,L. R. Moore,1993.3198924731,sorted on fcm
MIT9313,Gulf Stream,"37° 30.8'N; 68° 14,4'W",,135 m,L. R. Moore,1993.3198924731,sorted on fcm
MIT9314,Gulf Stream,"37° 30.8'N; 68° 14,4'W",,180 m,L. R. Moore,1993.3198924731,filtered
NATL1A,North Atlantic,37.4°N, 40°'W, 30 m,F. Partensky,1990-04-01*,filtered
NATL2A,North Atlantic,39°N, 49.3°W,10 m,Scanlan,1990-04-01*,filtered
NATL2A Ax,North Atlantic,39°N, 49.3°W,10 m, ,2008*,sorted axenic
MED,Mediterranean Sea,43° 12'N, 6° 52'E,  5 m,Vaulot & Partensky,1989-01-01*,filtered
MED1,Mediterranean Sea,43° 12'N, 6° 52'E,  5 m, , *,cloned
MED4,Mediterranean Sea,43° 12'N, 6° 52'E,  5 m,Vaulot & Partensky,1989-01-01*,filtered
MED4Ax,Mediterranean Sea,43° 12'N, 6° 52'E,  5 m,Saito,1989-01-01*,cloned/plated axenic
MIT9107,Tropical Pacific,14° 60'S, 134° 60'W, 25 m,J. Dusenberry,1991.1720430108,filtered
MIT9116,Tropical Pacific,14° 60'S, 134° 60'W, 25 m,J. Dusenberry,1991.1720430108,filtered
MIT9123,Tropical Pacific,14° 60'S, 134° 60'W, 25 m,J. Dusenberry,1991.1720430108,filtered
MIT9201,Tropical Pacific,11° 60'S, 145° 25'W,surface,B. Binder,1992.6290322581,filtered
MIT9202,Tropical Pacific,11° 60'S, 145° 25'W,79 m,B. Binder,1992.6290322581,filtered
MIT9211,Equatorial Pacific,0°, 140°W,1% Io,R. Olson,1992.0430107527,filtered
MIT9215,Equatorial Pacific,0°, 140°W,surface,B. Binder,1992.0806451613,filtered
MIT9321,Equatorial Pacific,1°N, 92°W, 50 m,P. Chisholm,1993.3548387097,filtered
MIT9322,Equatorial Pacific,0° 16'N, 93°W,surface,P. Chisholm,1993.4731182796,filtered
MIT9515,Tropical Pacific,5.7°S, 107.1°W,15m,P. Chisholm,1995-06-01*,filtered
GP2,Western Pacific,8°N, 136°E,150m,Shimada,1992-09-01*,filtered
SB,Western Pacific,35°N, 138.3°E,40m,Shimada,1992-10-01*,filtered
AS9601,Arabian Sea,19°S, 67°E,50m,Shalapyonok,1995-11-01*,"filtered
 "
